ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
9424,1,1097,22.799999237060547,16.399999618530273,2.4000000953674316,14.170000076293945,16.889437,-18.855812
9425,1,281,22.799999237060547,14.399999618530273,4.739999771118164,13.65999984741211,31.435596,-23.108944
9426,1,1631,19.5,10.399999618530273,4.960000038146973,13.170000076293945,34.99612,-3.001264
9427,1,1168,20.899999618530273,11.600000381469727,19.40999984741211,11.4399995803833,36.000137,-3.991328
9428,1,1168,20.899999618530273,11.600000381469727,19.40999984741211,11.4399995803833,36.000137,-3.991328
9429,1,1079,21.399999618530273,11.600000381469727,12.970000267028809,11.930000305175781,36.021698,-3.770492
9430,1,1626,19.5,10.399999618530273,7.309999942779541,12.869999885559082,35.020294,-3.012835
9431,1,536,21.200000762939453,12.899999618530273,14.859999656677246,11.789999961853027,31.279877,-25.153797
9432,1,284,21.899999618530273,13.199999809265137,15.170000076293945,11.710000038146973,31.920433,-24.946842
9433,1,1534,20.399999618530273,11.100000381469727,13.84000015258789,12.770000457763672,34.813087,-2.437086
9434,1,41,25.799999237060547,8,6.869999885559082,13.109999656677246,39.957917,-3.29125
9435,1,134,25.399999618530273,8.600000381469727,15.050000190734863,12.489999771118164,39.79125,-3.04125
9436,1,1891,17.100000381469727,15.100000381469727,11.3100004196167,11.1899995803833,36.374583,-0.79125
9437,1,1149,21.100000381469727,11.899999618530273,6.46999979019165,11.720000267028809,37.29125,-2.707917
9438,1,1599,19.5,13.600000381469727,8.739999771118164,12.210000038146973,35.207917,-1.54125
9439,1,2041,16.299999237060547,14.399999618530273,25.780000686645508,10.029999732971191,36.457917,-0.79125
9440,1,1978,16.5,16,33.709999084472656,10.859999656677246,36.29125,-0.457917
9441,1,32,26.200000762939453,8.399999618530273,7.519999980926514,12.180000305175781,39.457917,-4.457917
9442,1,41,25.799999237060547,8,6.869999885559082,13.109999656677246,39.957917,-3.29125
9443,1,1871,16.600000381469727,15.399999618530273,9.289999961853027,11.119999885559082,37.04125,0.042083
9444,1,1670,19,14.300000190734863,13.619999885559082,12.079999923706055,35.207917,-1.29125
9445,1,1978,16.5,16,33.709999084472656,10.859999656677246,36.29125,-0.457917
9446,1,41,25.799999237060547,8,6.869999885559082,13.109999656677246,39.957917,-3.29125
9447,1,18,26.399999618530273,8.300000190734863,5.809999942779541,11.949999809265137,39.54125,-4.374583
9448,1,32,26.200000762939453,8.399999618530273,7.519999980926514,12.180000305175781,39.457917,-4.457917
9449,1,1154,21.100000381469727,11.800000190734863,7.519999980926514,12.1899995803833,37.207917,-2.707917
9450,1,2048,16.200000762939453,14.899999618530273,29.450000762939453,10.0600004196167,36.457917,-0.707917
9451,1,2048,16.200000762939453,14.899999618530273,29.450000762939453,10.0600004196167,36.457917,-0.707917
9452,1,536,25.100000381469727,10.699999809265137,19.639999389648438,10.890000343322754,38.624583,-3.374583
9453,1,162,25.299999237060547,8.699999809265137,14.430000305175781,12.279999732971191,39.79125,-2.957917
9454,1,1696,18.799999237060547,14.600000381469727,15.229999542236328,12.319999694824219,35.124583,-1.124583
9455,1,41,25.799999237060547,8,6.869999885559082,13.109999656677246,39.957917,-3.29125
9456,1,1851,17.899999618530273,14.800000190734863,11.880000114440918,12.119999885559082,35.207917,-0.874583
9457,1,162,25.299999237060547,8.699999809265137,14.430000305175781,12.279999732971191,39.79125,-2.957917
9458,1,536,25.100000381469727,10.699999809265137,19.639999389648438,10.890000343322754,38.624583,-3.374583
9459,1,1754,18.700000762939453,13.699999809265137,28.860000610351562,11.229999542236328,34.957917,-1.29125
9460,1,1909,17.799999237060547,15.600000381469727,34.38999938964844,11.149999618530273,34.957917,1.20875
9461,1,9,26,7.900000095367432,4.150000095367432,13.380000114440918,39.957917,-3.374583
9462,1,9,26,7.900000095367432,4.150000095367432,13.380000114440918,39.957917,-3.374583
9463,1,1420,20.5,15,51.189998626708984,10.470000267028809,35.04125,1.375417
9464,1,2048,16.200000762939453,14.899999618530273,29.450000762939453,10.0600004196167,36.457917,-0.707917
9465,1,987,22,10.899999618530273,45.970001220703125,10.25,38.29125,-3.54125
9466,1,2048,16.200000762939453,14.899999618530273,29.450000762939453,10.0600004196167,36.457917,-0.707917
9467,1,2048,16.200000762939453,14.899999618530273,29.450000762939453,10.0600004196167,36.457917,-0.707917
9468,1,41,25.799999237060547,8,6.869999885559082,13.109999656677246,39.957917,-3.29125
9469,1,990,24,16,12.15999984741211,11.770000457763672,36.04125,0.625417
9470,1,1825,17,15.699999809265137,11.4399995803833,12.109999656677246,36.874583,-0.04125
9471,1,1805,17.100000381469727,15.800000190734863,6.300000190734863,11.630000114440918,36.957917,0.042083
9472,1,1803,17.100000381469727,15.899999618530273,10.369999885559082,12.5,36.874583,0.042083
9473,1,1832,17.100000381469727,16,9.859999656677246,12.779999732971191,36.79125,0.125417
9474,1,1426,19.5,11.300000190734863,19.299999237060547,9.510000228881836,37.624583,-2.957917
9475,1,18,26.399999618530273,8.300000190734863,5.809999942779541,11.949999809265137,39.54125,-4.374583
9476,1,16,26.399999618530273,8.600000381469727,5.760000228881836,12.65999984741211,39.374583,-4.54125
9477,1,2048,16.200000762939453,14.899999618530273,29.450000762939453,10.0600004196167,36.457917,-0.707917
9478,1,1889,16.899999618530273,16,9.260000228881836,12.529999732971191,36.707917,0.125417
9479,1,648,24.200000762939453,10.600000381469727,47.380001068115234,9.75,38.624583,-3.457917
9480,1,1978,16.5,16,33.709999084472656,10.859999656677246,36.29125,-0.457917
9481,1,1906,17,15.199999809265137,14.600000381469727,11.050000190734863,36.29125,-0.79125
9482,1,1889,16.899999618530273,16,9.260000228881836,12.529999732971191,36.707917,0.125417
9483,1,77,26.100000381469727,8.199999809265137,17.780000686645508,11.069999694824219,39.54125,-4.207917
9484,1,1832,17.100000381469727,16,9.859999656677246,12.779999732971191,36.79125,0.125417
9485,1,2041,16.299999237060547,14.399999618530273,25.780000686645508,10.029999732971191,36.457917,-0.79125
9486,1,41,25.799999237060547,8,6.869999885559082,13.109999656677246,39.957917,-3.29125
9487,1,1684,18.899999618530273,14.399999618530273,14.279999732971191,12.4399995803833,35.124583,-1.207917
9488,1,77,26.100000381469727,8.199999809265137,17.780000686645508,11.069999694824219,39.54125,-4.207917
9489,1,1673,18.700000762939453,12.699999809265137,40.810001373291016,10.529999732971191,37.124583,-1.457917
